title,price
(공식판매처) 에버랜드 종일이용권(방문일 지정)(3/1~3/31),"29,000원"
|부산여행X부산관광공사| 코오롱씨클라우드+더베이101 해양레저 PKG,"57,000원"
경기남부 최대 아쿠아리움 아쿠아플라넷 광교 (~3.31),"22,100원"
|5%카드할인|쏠비치 삼척 호텔&리조트 (강원 호텔/삼척/양양/동해/고성),"123,190원"
|5%카드할인|아르떼 리조트 스파 풀빌라(경남 리조트/사천/남해/진주/함양),"86,330원"
|전남 진도군| 쏠비치 진도(대명/호텔/대명/대명리조트/쏠비치/쏠비치대명/가족여행/진도/쏠비치호텔),"123,000원"
대전오월드 자유이용권 (~3/31) /대전/가족여행/오월드/겨울여행,"17,000원"
|5%카드할인|롯데리조트 속초(강원 리조트/속초/강릉/양양/고성),"156,170원"
[서울랜드]서울랜드 6개월 시즌이용권/테마파크/놀이공원,"55,000원"
(공식판매처) 에버랜드 종일이용권(방문일 지정)(3/1~3/31),"29,000원"
|5%카드할인| |제주 서귀포| 호텔 더본 제주,"87,070원"
경주월드 03월 자유이용권 종일권/오후권(3/1~3/31) 소인오후기준,"20,900원"
"l 5%카드할인 I|경북 호텔| 힐튼 경주 (경주(보문단지,황리단길,불국사,양남,감포,안강))","129,110원"
"|5%카드할인|파크 하얏트 부산(부산 호텔/해운대/해운대 (센텀,송정)/센텀시티)","259,290원"
|5%카드할인|휘닉스 제주 섭지코지(제주 호텔/서귀포/서귀포시/중문/표선/성산),"179,450원"
"|5%카드할인|파라다이스호텔&리조트, 파라다이스시티(인천 호텔/중구/인천국제공항(중구)/영","211,270원"
|강원 강릉시| 정동진 썬크루즈호텔(정동진호텔/정동진숙박/정동진썬크루즈호텔/정동진역호텔),"112,000원"
l 5%카드할인 I|제주 호텔| 제주 서우봉 비치 호텔 (제주시),"42,140원"
|5%카드할인|휘슬락 호텔(제주 호텔/제주공항/애월/함덕),"58,200원"
"|5%카드할인|파라다이스 호텔 부산(부산 호텔/해운대/해운대 (센텀,송정)/센텀시티)","234,740원"
"l 5%카드할인 I|강원 호텔| 강릉 세인트존스호텔 (경포대,사천,주문진,정동진)","85,360원"
l 5%카드할인 I|전남 호텔| 여수 베네치아 호텔 앤리조트 (여수),"86,920원"
코엑스아쿠아리움 3월 입장권(코엑스 아쿠아리움/삼성/서울),"19,900원"
제주 아쿠아플라넷 풀패키지권+카페 택1|아쿠아리움,"31,000원"
(여수)아쿠아플라넷+케이블카 / 아쿠아리움 (~03.31),"29,500원"
